HNL,21.31870079,-157.9219971,3.9624
HOB,32.6875,-103.2170029,1115.8728
HOU,29.64539909,-95.27890015,14.0208
HPN,41.06700134,-73.70760345,133.8072
HRL,26.22850037,-97.65440369,10.9728
HSV,34.6371994,-86.77510071,191.7192
HYS,38.84220123,-99.27320099,609.2952
IAD,38.94449997,-77.45580292,95.0976
IAG,43.1072998,-78.94619751,179.5272
IAH,29.9843998,-95.34140015,29.5656
ICT,37.64989853,-97.43309784,406.2984
IDA,43.51459885,-112.0709991,1445.9712
ILM,34.27059937,-77.90260315,9.7536
IMT,45.81840134,-88.11450195,360.2736
IND,39.7173,-86.294403,242.9256
INL,48.56620026,-93.40309906,361.188
ISN,48.17789841,-103.6419983,604.1136
ISP,40.79520035,-73.10019684,30.1752
ITH,42.49100113,-76.45839691,334.9752
ITO,19.72139931,-155.0480042,11.5824
JAC,43.6072998,-110.737999,1966.2648
JAN,32.31119919,-90.07589722,105.4608
JAX,30.49410057,-81.68789673,9.144
JFK,40.63980103,-73.77890015,3.9624
JMS,46.92969894,-98.67819977,457.2
JNU,58.35499954,-134.576004,6.4008
KOA,19.73880005,-156.0460052,14.3256
KTN,55.35559845,-131.7140045,27.1272
LAN,42.77870178,-84.58740234,262.4328
LAR,41.31209946,-105.6750031,2220.1632
LAS,36.08010101,-115.1520004,664.7688
LAW,34.56769943,-98.41660309,338.328
LAX,33.94250107,-118.4079971,38.1
LBB,33.66360092,-101.822998,1000.3536
LBE,40.27590179,-79.40480042,365.4552
LCH,30.12610054,-93.22329712,4.572
LEX,38.03649902,-84.60590363,298.3992
LFT,30.20529938,-91.98760223,12.8016
LGA,40.77719879,-73.87259674,6.4008
LGB,33.81769943,-118.1520004,18.288
LIH,21.97599983,-159.3390045,46.6344
LIT,34.72940063,-92.22429657,79.8576
LNK,40.85100174,-96.75920105,371.5512
LRD,27.54380035,-99.46160126,154.8384
LSE,43.879002,-91.256699,199.644
LWS,46.37450027,-117.0149994,439.5216
MAF,31.94249916,-102.2020035,875.0808
MBS,43.53290176,-84.07959747,203.6064
MCI,39.2976,-94.713898,312.7248
MCO,28.42939949,-81.30899811,29.2608
MDT,40.19350052,-76.76339722,94.488
MDW,41.7859993,-87.75240326,188.976
MEI,32.33259964,-88.75189972,90.5256
MEM,35.04240036,-89.97669983,103.9368
MFE,26.17580032,-98.23860168,32.6136
MFR,42.37419891,-122.8730011,406.908
MGM,32.30059814,-86.39399719,67.3608
MHT,42.93259811,-71.43569946,81.0768
MIA,25.79319954,-80.29060364,2.4384
MKE,42.94720078,-87.89659882,220.3704
MKG,43.16949844,-86.23819733,191.7192
MLB,28.10280037,-80.64530182,10.0584
MLI,41.44850159,-90.50749969,179.832
MLU,32.51089859,-92.03769684,24.0792
MMH,37.62409973,-118.8379974,2174.748
MOB,30.69120026,-88.24279785,66.7512
MOT,48.25939941,-101.2799988,523.0368
MQT,46.35359955,-87.395401,372.1608
MRY,36.5870018,-121.8430023,78.3336
MSN,43.13990021,-89.33750153,270.3576
MSO,46.91630173,-114.0910034,977.1888
MSP,44.88199997,-93.22180176,256.3368
MSY,29.99340057,-90.25800323,1.2192
MTJ,38.50979996,-107.8939972,1755.3432
MYR,33.67969894,-78.92829895,7.62
OAJ,34.82920074,-77.61209869,28.6512
OAK,37.72129822,-122.2210007,2.7432
OGG,20.89859962,-156.4299927,16.4592
OKC,35.39310074,-97.60070038,394.716
OMA,41.30319977,-95.89409637,299.9232
OME,64.5121994,-165.4450073,11.2776
ONT,34.05599976,-117.6009979,287.7312
ORD,41.97859955,-87.90480042,204.8256
ORF,36.89459991,-76.20120239,7.9248
ORH,42.26729965,-71.8757019,307.5432
OTH,43.417099,-124.2460022,5.1816
OTZ,66.88469696,-162.598999,4.2672
PAH,37.06079865,-88.77380371,124.968
PBG,44.65090179,-73.4681015,71.3232
PBI,26.68320084,-80.09559631,5.7912
PDX,45.58869934,-122.5979996,9.4488
PND,26.918889,-81.990833,7.9248
PHF,37.13190079,-76.49299622,12.8016
PHL,39.87189865,-75.2410965,10.9728
PHX,33.43429947,-112.012001,345.948
PIA,40.66419983,-89.69329834,201.168
PIB,31.46710014,-89.33709717,90.8304
PIH,42.90980148,-112.5960007,1356.9696
PIT,40.49150085,-80.23290253,366.6744
PLN,45.57089996,-84.79669952,219.7608
PNS,30.47340012,-87.18659973,36.8808
PPG,-14.33100033,-170.7100067,9.7536
PSC,46.26470184,-119.1190033,124.968
PSE,18.00830078,-66.56300354,8.8392
